Claim Year,Claim Month,Month,Diagnosis Rollup,Rollup Category,Claim Count
2011,1,01-01-2011,Acute bronchitis (disorder),Non-Cancer,3
2011,1,01-01-2011,Alzheimer's disease (disorder),Non-Cancer,3
2011,1,01-01-2011,Colon Cancer,Cancer,1
2011,1,01-01-2011,Fetus with unknown complication,Non-Cancer,1
2011,1,01-01-2011,Hyperlipidemia,Non-Cancer,7
2011,1,01-01-2011,Lung Cancer (NSCLC),Cancer,2
2011,1,01-01-2011,Lung Cancer (SCLC),Cancer,1
2011,1,01-01-2011,Normal pregnancy,Non-Cancer,1
2011,1,01-01-2011,Unknown,Unknown,66
2011,1,01-01-2011,Viral sinusitis (disorder),Non-Cancer,1
2011,2,01-02-2011,Acute bronchitis (disorder),Non-Cancer,1
2011,2,01-02-2011,Alzheimer's disease (disorder),Non-Cancer,4
2011,2,01-02-2011,Anemia (disorder),Non-Cancer,1
2011,2,01-02-2011,Asthma,Non-Cancer,1
2011,2,01-02-2011,Breast Cancer,Cancer,3
2011,2,01-02-2011,Chronic congestive heart failure (disorder),Non-Cancer,5
2011,2,01-02-2011,Colon Cancer,Cancer,1
2011,2,01-02-2011,Drug overdose,Non-Cancer,1
2011,2,01-02-2011,Hyperlipidemia,Non-Cancer,8
2011,2,01-02-2011,Lung Cancer (SCLC),Cancer,1
2011,2,01-02-2011,Normal pregnancy,Non-Cancer,1
2011,2,01-02-2011,Primary fibromyalgia syndrome,Non-Cancer,1
2011,2,01-02-2011,Unknown,Unknown,58
2011,3,01-03-2011,Acute bronchitis (disorder),Non-Cancer,3
2011,3,01-03-2011,Acute viral pharyngitis (disorder),Non-Cancer,1
2011,3,01-03-2011,Alzheimer's disease (disorder),Non-Cancer,1
2011,3,01-03-2011,Asthma,Non-Cancer,1
2011,3,01-03-2011,Chronic congestive heart failure (disorder),Non-Cancer,22
2011,3,01-03-2011,Colon Cancer,Cancer,1
2011,3,01-03-2011,Fracture of clavicle,Non-Cancer,1
2011,3,01-03-2011,Hyperlipidemia,Non-Cancer,17
2011,3,01-03-2011,Lung Cancer (SCLC),Cancer,1
2011,3,01-03-2011,Normal pregnancy,Non-Cancer,1
2011,3,01-03-2011,Primary fibromyalgia syndrome,Non-Cancer,1
2011,3,01-03-2011,Unknown,Unknown,78
2011,3,01-03-2011,Viral sinusitis (disorder),Non-Cancer,1
2011,4,01-04-2011,Acute bronchitis (disorder),Non-Cancer,1
2011,4,01-04-2011,Acute viral pharyngitis (disorder),Non-Cancer,1
2011,4,01-04-2011,Anemia (disorder),Non-Cancer,1
2011,4,01-04-2011,Chronic congestive heart failure (disorder),Non-Cancer,24
2011,4,01-04-2011,Colon Cancer,Cancer,2
2011,4,01-04-2011,Drug overdose,Non-Cancer,1
2011,4,01-04-2011,Hyperlipidemia,Non-Cancer,13
2011,4,01-04-2011,Lung Cancer (SCLC),Cancer,1
2011,4,01-04-2011,Normal pregnancy,Non-Cancer,3
2011,4,01-04-2011,Unknown,Unknown,66
2011,5,01-05-2011,Acute bronchitis (disorder),Non-Cancer,4
